0 1 2 3 4 5 6 7 8 9
23
21
1 6 6 6 6 6 6 6 6 6
2 5 5 5 5 5 5 5 5 5
3 4 4 4 4 4 4 4 4 4
22 7 7 7 7 7 7 7 7 7
7 7 7 7 7 7 7 7 7 7
4 4 4 4 4 4 4 4 4 4
5 5 5 5 5 5 5 5 5 5
8 9 22 22 22 22 22 22 22 22
22 10 18 10 11 10 11 10 10 11
10 11 10 22 22 22 22 22 22 22
12 13 13 14 22 22 22 22 22 22
15 16 16 17 22 22 22 22 22 22
22 21 21 21 21 21 21 21 21 21
21 21 21 21 21 21 21 21 21 21
21 21 22 22 22 22 22 22 22 22
22 21 21 21 21 21 21 21 21 21
21 21 21 21 21 21 21 21 21 21
21 22 22 22 22 22 22 22 22 22
19 20 20 22 22 22 22 22 22 22
22 21 21 21 21 21 21 21 21 21
21 21 21 21 21 21 21 21 21 21
22 22 22 22 22 22 22 22 22 22
22 22 22 22 22 22 22 22 22 22
