- 0 1 2 3 4 5 6 7 8 9
25
23
24 2 1 1 1 1 1 1 1 1 1
24 3 3 3 3 3 3 3 3 3 3
24 4 3 3 3 3 3 3 3 3 3
24 5 5 5 5 5 5 5 5 5 5
24 6 5 5 5 5 5 5 5 5 5
24 7 7 7 7 7 7 7 7 7 7
24 24 7 7 7 7 7 7 7 7 7
8 24 24 24 24 24 24 24 24 24 24
24 9 10 24 24 24 24 24 24 24 24
24 24 13 11 13 12 13 12 13 13 12
24 14 15 14 24 24 24 24 24 24 24
16 24 24 24 24 24 24 24 24 24 24
17 24 24 24 24 24 24 24 24 24 24
18 24 24 24 24 24 24 24 24 24 24
18 24 24 24 24 24 24 24 24 24 24
17 24 24 24 24 24 24 24 24 24 24
24 19 20 20 24 24 24 24 24 24 24
24 19 20 20 21 24 24 24 24 24 24
24 19 20 20 22 24 24 24 24 24 24
24 24 23 23 23 23 23 23 23 23 23
24 23 23 23 23 23 23 23 23 23 23
24 23 24 24 24 24 24 24 24 24 24
24 24 23 24 24 24 24 24 24 24 24
24 24 24 24 24 24 24 24 24 24 24
24 24 24 24 24 24 24 24 24 24 24
